cause_output_accuracy,cause_output_loss,fault_output_accuracy,fault_output_loss,loss,val_cause_output_accuracy,val_cause_output_loss,val_fault_output_accuracy,val_fault_output_loss,val_loss,learning_rate
0.926562488079071,0.1923847198486328,0.9746875166893005,0.08390513062477112,0.27628982067108154,1.0,0.00012594783038366586,1.0,5.1870974857592955e-05,0.00016268847684841603,0.0010000000474974513
0.9996874928474426,0.001627239864319563,1.0,0.00040169490966945887,0.0020289348904043436,1.0,1.2572011655720416e-05,1.0,8.499909199599642e-06,1.9950204659835435e-05,0.0010000000474974513
1.0,0.0004575556085910648,1.0,0.00018907351477537304,0.0006466289632953703,1.0,4.929294391331496e-06,1.0,2.770243781924364e-06,7.167458534240723e-06,0.0010000000474974513
1.0,0.00034561564098112285,1.0,0.00014229798398446292,0.00048791372682899237,1.0,1.9390024590393296e-06,1.0,1.135489810621948e-06,2.8447716431401204e-06,0.0010000000474974513
1.0,0.00022730710043106228,1.0,6.136946467449889e-05,0.00028867655782960355,1.0,1.0345627288188552e-06,1.0,5.388699833019928e-07,1.4392857110578916e-06,0.0010000000474974513
1.0,0.0002212866529589519,1.0,4.811217513633892e-05,0.00026939884992316365,1.0,5.723633194065769e-07,1.0,2.7741342023546167e-07,7.797427201694518e-07,0.0010000000474974513
1.0,0.0002639413869474083,1.0,8.293899009004235e-05,0.0003468804352451116,1.0,2.0808397493965458e-07,1.0,2.1355469925765647e-07,3.965240864545194e-07,0.0010000000474974513
1.0,0.00010485048551345244,1.0,3.389017365407199e-05,0.00013874063733965158,1.0,1.5326904190260393e-07,1.0,1.5632632255346834e-07,2.896218802561634e-07,0.0005000000237487257
1.0,8.739431359572336e-05,1.0,2.2974891180638224e-05,0.00011036920477636158,1.0,1.1681441236532919e-07,1.0,1.3027303680246405e-07,2.2944873023789114e-07,0.0005000000237487257
1.0,5.872537803952582e-05,1.0,4.2612784454831854e-05,0.0001013381770462729,1.0,9.659142818918554e-08,1.0,1.0209585354914452e-07,1.8310987570657744e-07,0.0005000000237487257
1.0,0.00013497327745426446,1.0,2.1274108803481795e-05,0.00015624737716279924,1.0,9.180177329426442e-08,1.0,8.200488110787774e-08,1.598623526888332e-07,0.0005000000237487257
1.0,5.293119829730131e-05,1.0,1.967869684449397e-05,7.260989514179528e-05,1.0,7.796499090773068e-08,1.0,6.194771628997842e-08,1.2865824317032093e-07,0.0005000000237487257
1.0,4.6905173803679645e-05,1.0,2.1887910406803712e-05,6.879308057250455e-05,1.0,5.428278981867152e-08,1.0,5.6867584419251216e-08,1.0162551689063548e-07,0.0002500000118743628
1.0,6.636705802520737e-05,1.0,2.038561797235161e-05,8.675265416968614e-05,1.0,3.991381802848082e-08,1.0,5.109111711476544e-08,8.349963565024154e-08,0.0002500000118743628
1.0,3.831499270745553e-05,1.0,9.381973541167099e-06,4.769696533912793e-05,1.0,3.991381802848082e-08,1.0,4.6008562293309296e-08,7.863528139750997e-08,0.0002500000118743628
1.0,3.971214755438268e-05,1.0,1.0234826731903013e-05,4.994696791982278e-05,1.0,3.991381802848082e-08,1.0,4.210509629842818e-08,7.482390884661072e-08,0.0002500000118743628
1.0,5.366203549783677e-05,1.0,1.797836011974141e-05,7.164041744545102e-05,1.0,3.938163217753754e-08,1.0,3.860909103536869e-08,7.09237113483141e-08,0.0002500000118743628
1.0,3.3075142710004e-05,1.0,1.3279997801873833e-05,4.6355140511877835e-05,1.0,2.660921261110616e-08,1.0,3.649207158673562e-08,5.816739445663188e-08,0.0001250000059371814
1.0,6.981846672715619e-05,1.0,7.003800874372246e-06,7.682225259486586e-05,1.0,2.660921261110616e-08,1.0,3.477020982245449e-08,5.654025159174125e-08,0.0001250000059371814
1.0,5.721962952520698e-05,1.0,1.778104342520237e-05,7.500066567445174e-05,1.0,2.660921261110616e-08,1.0,3.235400214407491e-08,5.425675553283327e-08,0.0001250000059371814
1.0,2.5495555746601894e-05,1.0,2.041920379269868e-05,4.591475590132177e-05,1.0,2.660921261110616e-08,1.0,2.9750596652888817e-08,5.1819178281675704e-08,0.0001250000059371814
1.0,5.229447560850531e-05,1.0,1.9086564861936495e-05,7.138104410842061e-05,1.0,2.660921261110616e-08,1.0,2.5798561509304818e-08,4.797591657279554e-08,0.0001250000059371814
1.0,5.9635116485878825e-05,1.0,8.635755875729956e-06,6.827087054261938e-05,1.0,2.660921261110616e-08,1.0,2.5361700295434275e-08,4.754701876663603e-08,6.25000029685907e-05
1.0,2.4437589672743343e-05,1.0,2.0058270820300095e-05,4.4495864131022245e-05,1.0,2.660921261110616e-08,1.0,2.4200895509807197e-08,4.6465810754625636e-08,6.25000029685907e-05
1.0,2.823977411026135e-05,1.0,2.270789809699636e-05,5.094767038826831e-05,1.0,2.660921261110616e-08,1.0,2.302323487413105e-08,4.5286768113328435e-08,6.25000029685907e-05
1.0,9.168292308459058e-05,1.0,9.786014743440319e-06,0.00010146892600459978,1.0,2.660921261110616e-08,1.0,2.298194523575603e-08,4.5275392324128916e-08,6.25000029685907e-05
1.0,2.972120273625478e-05,1.0,1.3515169484890066e-05,4.323636676417664e-05,1.0,2.660921261110616e-08,1.0,2.240725471835958e-08,4.4707814339517427e-08,6.25000029685907e-05
1.0,4.557000647764653e-05,1.0,7.918718438304495e-06,5.348873673938215e-05,1.0,2.660921261110616e-08,1.0,2.2367251162336288e-08,4.467041847533437e-08,3.125000148429535e-05
1.0,5.233347474131733e-05,1.0,1.4920705325494055e-05,6.72541864332743e-05,1.0,2.660921261110616e-08,1.0,2.1851365161751346e-08,4.417521282107373e-08,3.125000148429535e-05
1.0,3.9186426874948665e-05,1.0,3.0833325581625104e-05,7.001974154263735e-05,1.0,2.660921261110616e-08,1.0,2.08890842401388e-08,4.323230484715168e-08,3.125000148429535e-05
1.0,2.8288724934100173e-05,1.0,1.4337867469293997e-05,4.262658694642596e-05,1.0,2.660921261110616e-08,1.0,2.047546310279813e-08,4.2833420366150676e-08,3.125000148429535e-05
1.0,5.8588851970853284e-05,1.0,9.017690899781883e-06,6.760653923265636e-05,1.0,2.660921261110616e-08,1.0,2.0105160203343075e-08,4.247197793461055e-08,3.125000148429535e-05
1.0,1.9789869838859886e-05,1.0,9.21697574085556e-06,2.900684739870485e-05,1.0,2.660921261110616e-08,1.0,1.9937314021944985e-08,4.2308261782864065e-08,1.5625000742147677e-05
1.0,3.596884562284686e-05,1.0,2.801578739308752e-05,6.39846475678496e-05,1.0,2.660921261110616e-08,1.0,1.963462636922486e-08,4.2011283341025774e-08,1.5625000742147677e-05
1.0,4.440739212441258e-05,1.0,2.6337444069213234e-05,7.074483437463641e-05,1.0,2.660921261110616e-08,1.0,1.927799964107635e-08,4.166386702308955e-08,1.5625000742147677e-05
1.0,2.7010539270122536e-05,1.0,4.354817974672187e-06,3.1365358154289424e-05,1.0,2.660921261110616e-08,1.0,1.9144012597394067e-08,4.152902732812436e-08,1.5625000742147677e-05
1.0,6.274425686569884e-05,1.0,1.7822665540734306e-05,8.056691149249673e-05,1.0,2.660921261110616e-08,1.0,1.8966815673593374e-08,4.1352713253672846e-08,1.5625000742147677e-05
1.0,4.187688318779692e-05,1.0,8.286004231194966e-06,5.01628928759601e-05,1.0,2.607702853651972e-08,1.0,1.8885419450498375e-08,4.067962322551466e-08,7.812500371073838e-06
1.0,1.7284015484619886e-05,1.0,1.0188078704231884e-05,2.747208964137826e-05,1.0,2.581093561104808e-08,1.0,1.8806376900215582e-08,4.0303785198148034e-08,7.812500371073838e-06
1.0,6.480595766333863e-05,1.0,7.750380063953344e-06,7.255633681779727e-05,1.0,2.2883922312644245e-08,1.0,1.8891515907171197e-08,3.890406929940582e-08,7.812500371073838e-06
1.0,5.698029781342484e-05,1.0,1.327336849499261e-05,7.025365630397573e-05,1.0,1.6497713417606974e-08,1.0,1.8849792837727364e-08,3.349920518758154e-08,7.812500371073838e-06
1.0,1.663431612541899e-05,1.0,1.2870457794633694e-05,2.9504773920052685e-05,1.0,1.5433345268434095e-08,1.0,1.880561661948832e-08,3.2264903637724274e-08,7.812500371073838e-06
1.0,4.697910844697617e-05,1.0,2.5354785975650884e-05,7.233388896565884e-05,1.0,1.4901160305669237e-08,1.0,1.8751608266143194e-08,3.1614778350785855e-08,3.906250185536919e-06
1.0,7.513156742788851e-05,1.0,1.8035103494185023e-05,9.316665818914771e-05,1.0,1.5167252342962456e-08,1.0,1.880730060577207e-08,3.197597919779582e-08,3.906250185536919e-06
1.0,7.740238652331755e-05,1.0,1.3122904420015402e-05,9.052527457242832e-05,1.0,1.4901160305669237e-08,1.0,1.8785573985269366e-08,3.16617949636111e-08,3.906250185536919e-06
1.0,1.9693114154506475e-05,1.0,1.4507261766993906e-05,3.420037683099508e-05,1.0,1.4901160305669237e-08,1.0,1.8755303088369146e-08,3.1631628871764406e-08,3.906250185536919e-06
1.0,6.576671148650348e-05,1.0,1.0810932508320548e-05,7.657764217583463e-05,1.0,1.4102883305611158e-08,1.0,1.8753357977630003e-08,3.073218834970248e-08,3.906250185536919e-06
1.0,1.879921546787955e-05,1.0,8.61727494338993e-06,2.7416484954301268e-05,1.0,1.3836791268317938e-08,1.0,1.873195643042891e-08,3.0413108476068373e-08,1.9531250927684596e-06
1.0,1.3735842912865337e-05,1.0,2.1301841115928255e-05,3.503768311929889e-05,1.0,1.3836791268317938e-08,1.0,1.8726369788168995e-08,3.040736729076343e-08,1.9531250927684596e-06
1.0,2.582855086075142e-05,1.0,1.1502086636028253e-05,3.733063567779027e-05,1.0,1.3836791268317938e-08,1.0,1.870502508438676e-08,3.038610074668213e-08,1.9531250927684596e-06
